pleiades_url,geonames_url,match_type,distance,pleiades_locationPrecision,pleiades_featureTypes,geonames_featurecode
http://pleiades.stoa.org/places/128376,http://sws.geonames.org/2769013/,edh,1.379,precise,"villa, bath, arch, settlement, amphitheatre, architecturalcomplex, fort",PPLA3
http://pleiades.stoa.org/places/128376,http://sws.geonames.org/2768459/,edh,9.635,precise,"villa, bath, arch, settlement, amphitheatre, architecturalcomplex, fort",PPLA3
http://pleiades.stoa.org/places/128376,http://sws.geonames.org/2764937/,edh,21.71,precise,"villa, bath, arch, settlement, amphitheatre, architecturalcomplex, fort",PPLA3
http://pleiades.stoa.org/places/128375,http://sws.geonames.org/2760652/,edh,0.129,precise,"fort",PPL
http://pleiades.stoa.org/places/123119,http://sws.geonames.org/2861914/,edh,5524.45,unlocated,"unlocated, fort",PPL
http://pleiades.stoa.org/places/119054,http://sws.geonames.org/2806082/,edh,0.335,precise,"fort",PPL
http://pleiades.stoa.org/places/119026,http://sws.geonames.org/2857565/,edh,0.737,precise,"fort",PPL
http://pleiades.stoa.org/places/119017,http://sws.geonames.org/2873992/,edh,0.068,precise,"settlement",PPL
http://pleiades.stoa.org/places/118968,http://sws.geonames.org/2826099/,edh,1.761,precise,"fort",PPLA3
http://pleiades.stoa.org/places/118948,http://sws.geonames.org/2831872/,edh,2.731,precise,"settlement",PPL
http://pleiades.stoa.org/places/118945,http://sws.geonames.org/2930934/,edh,0.758,precise,"fort",PPL
http://pleiades.stoa.org/places/118929,http://sws.geonames.org/2849483/,edh,0.543,precise,"fort",PPLA2
http://pleiades.stoa.org/places/118926,http://sws.geonames.org/2835477/,edh,0.715,precise,"settlement",PPL
http://pleiades.stoa.org/places/118919,http://sws.geonames.org/2920304/,edh,0.588,precise,"fort",PPL
http://pleiades.stoa.org/places/118919,http://sws.geonames.org/2882431/,edh,0.389,precise,"fort",PPLA4
http://pleiades.stoa.org/places/118912,http://sws.geonames.org/3206254/,edh,6.324,precise,"settlement",PPLA4
http://pleiades.stoa.org/places/118912,http://sws.geonames.org/2928379/,edh,3.889,precise,"settlement",PPL
http://pleiades.stoa.org/places/118912,http://sws.geonames.org/2924347/,edh,11.556,precise,"settlement",PPLA4
http://pleiades.stoa.org/places/118912,http://sws.geonames.org/2868788/,edh,11.393,precise,"settlement",PPL
http://pleiades.stoa.org/places/118912,http://sws.geonames.org/2853969/,edh,1.08,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/118904,http://sws.geonames.org/2928079/,edh,0.067,precise,"settlement",PPL
http://pleiades.stoa.org/places/118901,http://sws.geonames.org/8410618/,edh,13.163,precise,"settlement",MSTY
http://pleiades.stoa.org/places/118901,http://sws.geonames.org/2782627/,edh,34.288,precise,"settlement",PPL
http://pleiades.stoa.org/places/118901,http://sws.geonames.org/2782332/,edh,0.945,precise,"settlement",PPL
http://pleiades.stoa.org/places/118901,http://sws.geonames.org/2780072/,edh,44.487,precise,"settlement",PPL
http://pleiades.stoa.org/places/118901,http://sws.geonames.org/2775062/,edh,46.052,precise,"settlement",HSE
http://pleiades.stoa.org/places/118901,http://sws.geonames.org/2774391/,edh,57.094,precise,"settlement",PPL
http://pleiades.stoa.org/places/118901,http://sws.geonames.org/2773718/,edh,26.093,precise,"settlement",PPL
http://pleiades.stoa.org/places/118901,http://sws.geonames.org/2773538/,edh,13.906,precise,"settlement",PPL
http://pleiades.stoa.org/places/118901,http://sws.geonames.org/2771962/,edh,7.444,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/118901,http://sws.geonames.org/2769131/,edh,13.212,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/118901,http://sws.geonames.org/2766846/,edh,6.392,precise,"settlement",PPL
http://pleiades.stoa.org/places/118901,http://sws.geonames.org/2765886/,edh,31.847,precise,"settlement",PPL
http://pleiades.stoa.org/places/118901,http://sws.geonames.org/2764463/,edh,9.94,precise,"settlement",PPL
http://pleiades.stoa.org/places/118901,http://sws.geonames.org/2762290/,edh,18.642,precise,"settlement",PPL
http://pleiades.stoa.org/places/118901,http://sws.geonames.org/2761524/,edh,1.289,precise,"settlement",PPLA2
http://pleiades.stoa.org/places/118901,http://sws.geonames.org/2761467/,edh,57.118,precise,"settlement",PPL
http://pleiades.stoa.org/places/118901,http://sws.geonames.org/2761179/,edh,22.134,precise,"settlement",PPL
http://pleiades.stoa.org/places/118840,http://sws.geonames.org/2919652/,edh,0.666,precise,"fort",PPL
http://pleiades.stoa.org/places/118813,http://sws.geonames.org/2881980/,edh,0.395,precise,"settlement",PPL
http://pleiades.stoa.org/places/118811,http://sws.geonames.org/2761945/,edh,9.958,precise,"fort",PPL
http://pleiades.stoa.org/places/118803,http://sws.geonames.org/2772400/,edh,0.496,precise,"fort",PPLA
http://pleiades.stoa.org/places/118802,http://sws.geonames.org/2782823/,edh,5.401,precise,"fort",PPL
http://pleiades.stoa.org/places/118802,http://sws.geonames.org/2782480/,edh,13.727,precise,"fort",PPL
http://pleiades.stoa.org/places/118802,http://sws.geonames.org/2782347/,edh,26.19,precise,"fort",PPL
http://pleiades.stoa.org/places/118802,http://sws.geonames.org/2780048/,edh,0.366,precise,"fort",PPL
http://pleiades.stoa.org/places/118802,http://sws.geonames.org/2779622/,edh,41.675,precise,"fort",PPLA3
http://pleiades.stoa.org/places/118802,http://sws.geonames.org/2776725/,edh,8.239,precise,"fort",PPL
http://pleiades.stoa.org/places/118802,http://sws.geonames.org/2773423/,edh,1.852,precise,"fort",PPL
http://pleiades.stoa.org/places/118802,http://sws.geonames.org/2772262/,edh,0.846,precise,"fort",PPLX
http://pleiades.stoa.org/places/118802,http://sws.geonames.org/2771867/,edh,7.264,precise,"fort",PPL
http://pleiades.stoa.org/places/118802,http://sws.geonames.org/2771783/,edh,27.606,precise,"fort",PPL
http://pleiades.stoa.org/places/118802,http://sws.geonames.org/2769773/,edh,28.651,precise,"fort",PPL
http://pleiades.stoa.org/places/118802,http://sws.geonames.org/2769488/,edh,27.376,precise,"fort",PPL
http://pleiades.stoa.org/places/118802,http://sws.geonames.org/2769353/,edh,104.605,precise,"fort",PPL
http://pleiades.stoa.org/places/118802,http://sws.geonames.org/2769052/,edh,43.646,precise,"fort",PPL
http://pleiades.stoa.org/places/118802,http://sws.geonames.org/2766365/,edh,6.36,precise,"fort",PPL
http://pleiades.stoa.org/places/118802,http://sws.geonames.org/2764813/,edh,3.757,precise,"fort",RUIN
http://pleiades.stoa.org/places/118802,http://sws.geonames.org/2764564/,edh,6.616,precise,"fort",PPL
http://pleiades.stoa.org/places/118802,http://sws.geonames.org/2763560/,edh,7.688,precise,"fort",PPL
http://pleiades.stoa.org/places/118802,http://sws.geonames.org/2761314/,edh,49.688,precise,"fort",PPLA3
http://pleiades.stoa.org/places/118802,http://sws.geonames.org/2760772/,edh,45.435,precise,"fort",PPLA3
http://pleiades.stoa.org/places/118802,http://sws.geonames.org/2760669/,edh,26.544,precise,"fort",PPLA3
http://pleiades.stoa.org/places/118726,http://sws.geonames.org/2891379/,edh,1.137,precise,"fort",PPL
http://pleiades.stoa.org/places/118716,http://sws.geonames.org/2913555/,edh,0.377,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/118706,http://sws.geonames.org/2886008/,edh,0.828,precise,"fort",PPLA4
http://pleiades.stoa.org/places/118673,http://sws.geonames.org/2779097/,edh,3.434,precise,"fort",PPL
http://pleiades.stoa.org/places/118673,http://sws.geonames.org/2771766/,edh,0.066,precise,"fort",PPL
http://pleiades.stoa.org/places/118657,http://sws.geonames.org/2933772/,edh,0.505,precise,"fort",PPLA4
http://pleiades.stoa.org/places/118629,http://sws.geonames.org/7871827/,edh,25.155,precise,"settlement",ADM3
http://pleiades.stoa.org/places/118629,http://sws.geonames.org/2782635/,edh,23.202,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/118629,http://sws.geonames.org/2778283/,edh,22.018,precise,"settlement",PPL
http://pleiades.stoa.org/places/118629,http://sws.geonames.org/2777464/,edh,14.642,precise,"settlement",PPL
http://pleiades.stoa.org/places/118629,http://sws.geonames.org/2777082/,edh,10.412,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/118629,http://sws.geonames.org/2775386/,edh,16.491,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/118629,http://sws.geonames.org/2774703/,edh,6.524,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/118629,http://sws.geonames.org/2771782/,edh,15.525,precise,"settlement",PPL
http://pleiades.stoa.org/places/118629,http://sws.geonames.org/2771682/,edh,21.695,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/118629,http://sws.geonames.org/2771002/,edh,14.719,precise,"settlement",PPL
http://pleiades.stoa.org/places/118629,http://sws.geonames.org/2770113/,edh,8.332,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/118629,http://sws.geonames.org/2768844/,edh,18.757,precise,"settlement",PPL
http://pleiades.stoa.org/places/118629,http://sws.geonames.org/2768473/,edh,6.551,precise,"settlement",PPL
http://pleiades.stoa.org/places/118629,http://sws.geonames.org/2768236/,edh,39.697,precise,"settlement",PPL
http://pleiades.stoa.org/places/118629,http://sws.geonames.org/2766951/,edh,26.753,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/118629,http://sws.geonames.org/2766429/,edh,0.948,precise,"settlement",PPLA
http://pleiades.stoa.org/places/118629,http://sws.geonames.org/2763270/,edh,38.28,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/118629,http://sws.geonames.org/2762702/,edh,6.793,precise,"settlement",PPLX
http://pleiades.stoa.org/places/118628,http://sws.geonames.org/2853974/,edh,0.09,precise,"fort",PPL
http://pleiades.stoa.org/places/118609,http://sws.geonames.org/2922230/,edh,0.371,precise,"station",PPLA4
http://pleiades.stoa.org/places/118606,http://sws.geonames.org/2895933/,edh,0.732,precise,"settlement, fort",PPLX
http://pleiades.stoa.org/places/118590,http://sws.geonames.org/2855328/,edh,2.529,precise,"fort",PPLA3
http://pleiades.stoa.org/places/118581,http://sws.geonames.org/2778714/,edh,5.033,precise,"fort",PPL
http://pleiades.stoa.org/places/118581,http://sws.geonames.org/2770396/,edh,3.318,precise,"fort",PPL
http://pleiades.stoa.org/places/118581,http://sws.geonames.org/2763459/,edh,0.935,precise,"fort",PPLA3
http://pleiades.stoa.org/places/118580,http://sws.geonames.org/2954172/,edh,0.73,precise,"settlement, amphitheatre",PPLA2
http://pleiades.stoa.org/places/118580,http://sws.geonames.org/2864252/,edh,5.442,precise,"settlement, amphitheatre",PPL
http://pleiades.stoa.org/places/118580,http://sws.geonames.org/2860406/,edh,3.281,precise,"settlement, amphitheatre",PPLX
http://pleiades.stoa.org/places/118577,http://sws.geonames.org/2760430/,edh,0.236,precise,"fort",PPL
http://pleiades.stoa.org/places/118572,http://sws.geonames.org/2898028/,edh,28.764,precise,"settlement",PPL
http://pleiades.stoa.org/places/118572,http://sws.geonames.org/2843636/,edh,0.138,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/118571,http://sws.geonames.org/2776859/,edh,1.637,precise,"fort",PPL
http://pleiades.stoa.org/places/118571,http://sws.geonames.org/2769420/,edh,2.105,precise,"fort",PPL
